PSG_DATE;PSG_DEVICE;PSG_TRANSACTION;PL_ID;PL_EXT;OP_ID;OP_EXT;GD_ID;GD_VER;CRD_TECH;CRD_NO;CRD_SERIAL_NO;CRD_USAGE_COUNTER;CRD_TRIP_COUNTER;CRD_UNITS;IN_DATE;DT_ID;ROUTE_ID;BEGIN_TIME;VT_HASH_CODE;VT_BLANK_GD_ID;VT_SALE;TARIFF_KIND;TRN_CODE;LAYOUT_ID;SECTOR_OF_TICKET;ANTIFROD_RES;FILE_ID;CRD_REFILL_COUNTER;GD2_ID;PROLONG;CRD_DATE_BEGIN;CRD_DATE_END;LAST_SALE_DATE;THIRD_PARTY_DATA_SRC;CC_TRN_ID;PAYMENT_ID;PAYMENT_TYPE;PAYMENT_REQUEST
29.01.23 17:09:55;50557;8783;447;210;73;938;4414;636;S;3949283;1210654547258752;86;0;81;29.01.23 17:22:13;1;42;29.01.23 16:41:00;;4413;;1;;;;;1716040895;45;;;;;;;;;;
29.01.23 17:09:56;944;46491;454;208;73;1371;4820;636;S;3901343906;2436015703;0;0;0;29.01.23 17:20:13;1;;29.01.23 17:09:56;F8BAF238B990F6B9F90F38891DD018913CB136D63B395073C43542790B2A8489;;;1;61;;;;1716034249;0;;;;;29.01.23 17:09:56;;94429012023170956cfc1cd3ff0bv103;;0;0
29.01.23 17:09:56;16745;14761;450;213;73;3483;4820;636;S;3911582246;13485198;0;0;0;29.01.23 17:20:15;1;;29.01.23 17:09:56;0F7A6E707506D8CAC9FC84B587DE064EB60457CB0EB4AFFC5CE61D1798380728;;;1;61;;;;1716035148;0;;;;;29.01.23 17:09:56;;1674529012023170956dc83cdff6v103;;0;0
29.01.23 17:09:56;34220;13384;449;206;73;6080;4793;636;S;1506192776;1557760551014400;777;0;0;29.01.23 17:20:12;1;;;;;;;;;;;1716032929;0;;1;;;;;;;;
29.01.23 17:09:56;36080;15903;461;206;73;959;4793;636;S;1882926984;1562596116467968;2413;0;0;29.01.23 20:35:14;1;;;;;;;;;;;1716246550;0;;1;;;;;;;;
29.01.23 17:09:56;45344;6698;439;203;73;8532;4973;636;S;14742023;1145896645382528;80;0;0;29.01.23 17:22:13;1;283;29.01.23 17:09:00;;4693;;;;;;;1716040576;32;;1;;;;;;;;
29.01.23 17:09:56;45397;14782;439;214;73;8729;4833;636;S;10788386;1164874757001088;109;0;0;29.01.23 17:20:13;1;283;29.01.23 17:09:00;;4430;;;;;;;1716034161;15;;1;;;;;;;;
29.01.23 17:09:56;45579;26259;427;205;73;9059;4793;636;S;2881769352;1563392153039360;86;0;0;29.01.23 17:20:14;1;;;;;;;;;;;1716034694;0;;1;;;;;;;;
29.01.23 17:09:56;45590;7189;431;207;73;847;4642;636;S;12059028;14815664325794326;25;0;0;29.01.23 17:20:08;1;;;;;;;;;;;1716031466;;;1;;;;;;;;
29.01.23 17:09:56;45993;19745;447;210;73;938;4793;636;S;2826340744;1565083056464128;617;0;0;29.01.23 17:20:11;1;;;;;;;;;;;1716032307;0;;1;;;;;;;;
29.01.23 17:09:56;50651;24954;428;201;73;2422;4414;636;S;43030156;14658271231845382;78;0;283;29.01.23 17:20:15;1;1344;29.01.23 16:52:00;;4413;;1;;;;;1716035235;11;;;;;;;;;;
29.01.23 17:09:57;35162;10248;449;206;73;6080;4953;636;S;3247184264;14656067238979558;4;0;0;29.01.23 17:20:13;1;283;29.01.23 17:09:00;;4665;;;;;;;1716033637;3;;2;;;;;;;;
29.01.23 17:09:57;36016;26346;445;204;73;3754;4829;636;S;15469188;1226219518514048;4;0;0;29.01.23 17:20:07;1;283;29.01.23 17:09:00;;4430;;;;;;;1716031044;10;;1;;;;;;;;
29.01.23 17:09:57;36776;28347;433;207;73;4195;4820;636;S;3911468003;2419990414;0;0;0;29.01.23 17:20:11;1;;29.01.23 17:09:57;58331E0586E533F17DD610F0612D0110A7C8BC3204535A75282F2D5CE96E47C1;;;1;61;;;;1716032288;0;;;;;29.01.23 17:09:57;;367762901202317095701c4df421v104;;0;0
29.01.23 17:09:57;45579;26261;427;205;73;9059;4793;636;S;2986427528;1561463871570176;448;0;0;29.01.23 17:20:14;1;;;;;;;;;;;1716034694;0;;1;;;;;;;;
29.01.23 17:09:57;45591;25798;439;214;73;8729;4793;636;S;2424377480;1560453682082048;1999;0;0;29.01.23 17:22:12;1;;;;;;;;;;;1716040372;0;;1;;;;;;;;
29.01.23 17:09:57;50557;8784;447;210;73;938;4642;636;S;12013152;14815663922963223;35;0;0;29.01.23 17:22:13;1;;;;;;;;;;;1716040895;;;1;;;;;;;;
29.01.23 17:09:58;21046;13368;456;111;73;302;4793;636;S;1652641160;1564394551242752;2196;0;0;29.01.23 17:22:11;1;;;;;;;;;;;1716039526;0;;1;;;;;;;;
29.01.23 17:09:58;45007;19038;447;210;73;938;4989;636;S;2321052727;1559117386355200;39;0;0;29.01.23 17:20:08;1;283;29.01.23 17:09:00;;1513;;;;;;;1716031199;16;;1;;;;;;;;
29.01.23 17:09:58;45215;6562;460;212;73;5321;4989;636;S;2322101820;14663025352814118;54;0;0;29.01.23 17:20:07;2;283;29.01.23 17:09:00;;1513;;;;;;;1716031090;4;;1;;;;;;;;
29.01.23 17:09:58;45590;7190;431;207;73;847;4793;636;S;2373849736;1563169472020736;1031;0;0;29.01.23 17:20:08;1;;;;;;;;;;;1716031466;0;;1;;;;;;;;
29.01.23 17:09:58;45993;19747;447;210;73;938;4642;636;S;12013174;14815663924883991;38;0;0;29.01.23 17:20:11;1;;;;;;;;;;;1716032307;;;1;;;;;;;;
29.01.23 17:09:58;63837;3737;442;203;73;812;4829;636;S;35603897;1317632919760770;58;0;0;30.01.23 04:55:07;1;283;29.01.23 17:09:00;;4430;;;;;;;1716386279;10;;1;;;;;;;;
29.01.23 17:09:59;18591;10151;447;210;73;938;4793;636;S;1505818760;1554344995049472;422;0;0;29.01.23 17:20:17;1;;;;;;;;;;;1716036580;0;;1;;;;;;;;
29.01.23 17:09:59;21178;2246;451;206;73;5349;4957;636;S;2868293512;1560284845707776;49;0;0;29.01.23 17:20:14;1;283;29.01.23 17:09:00;;4656;;;;;;;1716034973;3;;1;;;;;;;;
29.01.23 17:09:59;45007;19039;447;210;73;938;4985;636;S;1622010562;1564342639460608;11;0;0;29.01.23 17:20:08;1;283;29.01.23 17:09:00;;1519;;;;;;;1716031199;6;;2;;;;;;;;
29.01.23 17:09:59;45352;40225;427;204;73;7773;4414;636;S;44250540;14656062681784038;7;0;145;29.01.23 17:20:10;1;283;29.01.23 17:09:00;;4413;;1;;;;;1716031812;1;;1;;;;;;;;
29.01.23 17:09:59;45515;41519;447;204;73;8891;4829;636;S;38962343;1272450945479810;20;0;0;29.01.23 17:20:12;1;283;29.01.23 17:09:00;;4430;;;;;;;1716033488;1;;1;;;;;;;;
29.01.23 17:10:00;19559;11079;443;215;73;3210;4414;636;S;35339169;1196832546451586;5;0;34;29.01.23 17:20:14;1;283;29.01.23 17:10:00;;4413;;1;;;;;1716034446;2;;1;;;;;;;;
29.01.23 17:10:00;19575;20416;439;214;73;8729;4414;636;S;594637;1225350450064768;41;0;81;29.01.23 17:20:08;1;462;29.01.23 16:07:00;;4413;;1;;;;;1716031169;65;;;;;;;;;;
29.01.23 17:10:00;21254;12967;458;223;73;5145;4793;636;S;2260585352;1559070796706048;929;0;0;29.01.23 17:20:14;1;;;;;;;;;;;1716034407;0;;1;;;;;;;;
29.01.23 17:10:00;34657;17611;26;201;73;542;4793;636;S;3285391496;14656060663970278;88;0;0;29.01.23 17:22:13;1;;;;;;;;;;;1716040749;0;;1;;;;;;;;
29.01.23 17:10:00;45007;19040;447;210;73;938;4794;636;S;9486762;23429837931675649;259;0;0;29.01.23 17:20:08;1;;;;;;;;;;;1716031199;0;;1;;;;;;;;
29.01.23 17:10:00;45579;26262;427;205;73;9059;4793;636;S;2769022856;1548501554356480;364;0;0;29.01.23 17:20:14;1;;;;;;;;;;;1716034694;0;;1;;;;;;;;
29.01.23 17:10:00;45993;19748;447;210;73;938;4829;636;S;30390886;1249155981140608;55;0;0;29.01.23 17:20:11;1;283;29.01.23 17:09:00;;4430;;;;;;;1716032307;4;;1;;;;;;;;
29.01.23 17:10:00;47056;14013;460;212;73;5321;4989;636;S;2322005889;1558073034010624;26;0;0;29.01.23 17:22:11;2;283;29.01.23 17:09:00;;1513;;;;;;;1716039142;10;;2;;;;;;;;
29.01.23 17:10:00;50557;8785;447;210;73;938;4829;636;S;34822328;1136170954289026;82;0;0;29.01.23 17:22:13;1;283;29.01.23 17:09:00;;4430;;;;;;;1716040895;3;;1;;;;;;;;
29.01.23 17:10:01;17378;63459;436;207;73;955;4414;636;S;32881489;1172482226481536;99;0;151;29.01.23 17:22:09;1;283;29.01.23 17:10:00;;4413;;1;;;;;1716037781;85;;1;;;;;;;;
29.01.23 17:10:01;18591;10153;447;210;73;938;4829;636;S;23321791;1195778525584768;75;0;0;29.01.23 17:20:17;1;283;29.01.23 17:10:00;;4430;;;;;;;1716036580;18;;1;;;;;;;;
29.01.23 17:10:01;19185;35068;450;203;73;755;4793;636;S;2697181832;1563695810076928;1019;0;0;29.01.23 17:20:16;1;;;;;;;;;;;1716036275;0;;1;;;;;;;;
29.01.23 17:10:01;19287;20451;436;208;73;3203;4975;636;S;6154760;1231638954915200;15;0;0;29.01.23 17:20:14;1;283;29.01.23 17:10:00;;4693;;;;;;;1716034870;2;;1;;;;;;;;
29.01.23 17:10:01;34537;23669;429;201;73;7359;4820;636;S;3905841018;4158659201;0;0;0;29.01.23 17:20:14;1;;29.01.23 17:10:01;432EDAE590A51D4AA4F114D3D0622B890D6FD1CD69AAEA8ABD61A7FB54BCB8EE;;;1;61;;;;1716034584;0;;;;;29.01.23 17:10:01;;3453729012023171001a8b1dc31cv102;;0;0
29.01.23 17:10:01;45359;8019;447;204;73;8891;4829;636;S;37692123;1234139706126466;18;0;0;29.01.23 17:20:15;1;283;29.01.23 17:10:00;;4430;;;;;;;1716035301;1;;1;;;;;;;;
29.01.23 17:10:01;45534;25163;431;207;73;847;4829;636;S;3911773071;1150392666911874;112;0;0;29.01.23 17:20:16;1;283;29.01.23 17:10:00;;4474;;;;;;;1716036090;42;;1;;;;;;;;
29.01.23 17:10:02;21178;2247;451;206;73;5349;4414;636;S;26101759;1250383810223232;108;0;478;29.01.23 17:20:14;1;283;29.01.23 17:10:00;;4413;;1;;;;;1716034973;7;;1;;;;;;;;
29.01.23 17:10:02;36709;4843;460;210;73;6141;4829;636;S;43702455;14656062671194342;81;0;0;29.01.23 17:20:08;2;283;29.01.23 17:10:00;;4430;;;;;;;1716031250;2;;1;;;;;;;;
29.01.23 17:10:02;36724;22419;460;206;73;6631;4793;636;S;2659017352;1552078758797568;807;0;0;29.01.23 17:20:18;2;;;;;;;;;;;1716036840;0;;1;;;;;;;;
